Tiempo frecuencimetro (x10);Microcontrolador;;;;;;;;;;;;
1.0160;1;;;;;;;;;;;;
2.0146;2;;;;;;;;;;;;
3.0145;3;;;;;;;;;;;;
5.0440;5;;;;;;;;;;;;
10.0460;10;;;;;;;;;;;;
19.0173;19;;;;;;;;;;;;
33.0170;33;;;;;;;;;;;;
60.0440;60;;;;;;;;;;;;
107.0450;107;;;;;;;;;;;;
191.0990;191;;;;;;;;;;;;
342.2110;342;;;;;;;;;;;;
613.9399;614;;;;;;;;;;;;
1101.3186;1101;;;;;;;;;;;;
1974.6564;1975;;;;;;;;;;;;
3539.9572;3539;;;;;;;;;;;;
6352.0934;6352;;;;;;;;;;;;
11352.1080;11352;;;;;;;;;;;;
20385.2210;20385;;;;;;;;;;;;
36552.2410;36552;;;;;;;;;;;;
65524.5480;65524;;;;;;;;;;;;
100156.9320;93604;;;;;;;;;;;;
301692.1700;294445;;;;;;;;;;;;
496085.4400;488884;;;;;;;;;;;;
851304.7000;844433;;;;;;;;;;;;
